,id,name,Link,Min_players,Max_players,Min_duration,Max_duration,Weight
180,258779,Planet Unknown,https://boardgamegeek.com/boardgame/258779,1,6,60,80,2.23
181,209418,Dominion (Second Edition),https://boardgamegeek.com/boardgame/209418,2,4,30,na,2.19
182,249259,War Chest,https://boardgamegeek.com/boardgame/249259,2,4,30,na,2.31
183,233398,Endeavor: Age of Sail,https://boardgamegeek.com/boardgame/233398,2,5,60,90,2.84
184,148949,Istanbul,https://boardgamegeek.com/boardgame/148949,2,5,40,60,2.58
185,328871,Terraforming Mars: Ares Expedition,https://boardgamegeek.com/boardgame/328871,1,4,45,60,2.92
186,146652,Legendary Encounters: An Alien Deck Building Game,https://boardgamegeek.com/boardgame/146652,1,5,30,60,2.71
187,296151,Viscounts of the West Kingdom,https://boardgamegeek.com/boardgame/296151,1,4,60,90,3.46
188,294484,Unmatched: Cobble & Fog,https://boardgamegeek.com/boardgame/294484,2,4,20,40,1.97
189,265188,Glen More II: Chronicles,https://boardgamegeek.com/boardgame/265188,2,4,90,120,3.01
190,103885,Star Wars: X-Wing Miniatures Game,https://boardgamegeek.com/boardgame/103885,2,na,30,45,2.5
191,283948,Marco Polo II: In the Service of the Khan,https://boardgamegeek.com/boardgame/283948,2,4,60,120,3.37
192,244522,That's Pretty Clever!,https://boardgamegeek.com/boardgame/244522,1,4,30,na,1.86
193,329082,Radlands,https://boardgamegeek.com/boardgame/329082,2,na,20,40,2.28
194,82222,Xia: Legends of a Drift System,https://boardgamegeek.com/boardgame/82222,3,5,60,180,3.18
195,54043,Jaipur,https://boardgamegeek.com/boardgame/54043,2,na,30,na,1.46
196,233867,Welcome To...,https://boardgamegeek.com/boardgame/233867,1,100,25,na,1.84
197,350184,Earth,https://boardgamegeek.com/boardgame/350184,1,5,45,90,2.89
198,359609,Arkham Horror: The Card Game (Revised Edition),https://boardgamegeek.com/boardgame/359609,1,4,45,180,3.76
199,339789,Welcome to the Moon,https://boardgamegeek.com/boardgame/339789,1,6,25,30,2.48
200,283355,Dune,https://boardgamegeek.com/boardgame/283355,2,6,120,180,3.99
201,271896,Star Wars: Outer Rim,https://boardgamegeek.com/boardgame/271896,1,4,120,180,2.57
202,43111,Chaos in the Old World,https://boardgamegeek.com/boardgame/43111,3,4,60,120,3.2
203,9609,War of the Ring,https://boardgamegeek.com/boardgame/9609,2,4,120,na,3.85
204,188920,This War of Mine: The Board Game,https://boardgamegeek.com/boardgame/188920,1,6,45,120,3.32
205,10630,Memoir '44,https://boardgamegeek.com/boardgame/10630,2,8,30,60,2.27
